Week,p5js: (Worldwide)
2021-02-21,53
2021-02-28,62
2021-03-07,51
2021-03-14,58
2021-03-21,59
2021-03-28,54
2021-04-04,61
2021-04-11,49
2021-04-18,72
2021-04-25,56
2021-05-02,57
2021-05-09,65
2021-05-16,58
2021-05-23,68
2021-05-30,59
2021-06-06,49
2021-06-13,49
2021-06-20,51
2021-06-27,44
2021-07-04,50
2021-07-11,38
2021-07-18,41
2021-07-25,35
2021-08-01,43
2021-08-08,51
2021-08-15,44
2021-08-22,53
2021-08-29,76
2021-09-05,57
2021-09-12,73
2021-09-19,77
2021-09-26,77
2021-10-03,70
2021-10-10,99
2021-10-17,89
2021-10-24,85
2021-10-31,93
2021-11-07,100
2021-11-14,90
2021-11-21,81
2021-11-28,100
2021-12-05,76
2021-12-12,87
2021-12-19,53
2021-12-26,50
2022-01-02,74
2022-01-09,77
2022-01-16,70
2022-01-23,78
2022-01-30,92
2022-02-06,95
2022-02-13,88
